ITEM_MAT_LIQUID_001,Clean Water
ITEM_MAT_FOODSTUFF_002,Fresh Meat
ITEM_MAT_FOODSTUFF_003,Kurken Fruit
ITEM_MAT_FOODSTUFF_004,Unknown Egg
ITEM_MAT_NUT_001,Rainbow Grape
ITEM_MAT_NUT_002,Palma Fruit
ITEM_MAT_NUT_003,Fresh Berry
ITEM_MAT_NUT_004,Oil Tree Fruit
ITEM_MAT_NUT_005,Nectar Fruit
ITEM_MAT_BEEHIVE_001,Beehive
ITEM_MAT_BEEHIVE_002,Silver Beehive
ITEM_MAT_BEEHIVE_003,Gold Beehive
ITEM_MAT_MUSHROOM_001,Eicheloa
ITEM_MAT_MUSHROOM_002,Dream Mushroom
ITEM_MAT_MUSHROOM_003,Mushroom Colony
ITEM_MAT_MUSHROOM_004,Jupitonion
ITEM_MAT_MUSHROOM_005,Golden Crown
ITEM_MAT_FISH_012,Pretty Shell
ITEM_MAT_FISH_001,Sardine
ITEM_MAT_FISH_002,Exofish
ITEM_MAT_FISH_013,Spikey
ITEM_MAT_FISH_003,Selior
ITEM_MAT_FISH_004,Purumuru
ITEM_MAT_FISH_005,Crab
ITEM_MAT_FISH_006,Xisor
ITEM_MAT_FISH_007,Sawe Fish
ITEM_MAT_FISH_008,Mace Fish
ITEM_MAT_FISH_009,Myria Fish
ITEM_MAT_FISH_010,Lake Master
ITEM_MAT_FISH_011,Underworld Master
ITEM_MAT_INSECT_001,Seven Stars
ITEM_MAT_INSECT_002,Honey Ant
ITEM_MAT_INSECT_003,Lantern Fly
ITEM_MAT_INSECT_004,Rose Bee
ITEM_MAT_INSECT_005,Giant Beetle
ITEM_MAT_INSECT_006,Bomb Dragoon
ITEM_MAT_INSECT_007,Spear Worm
ITEM_MAT_INSECT_008,Amber Fly
ITEM_MAT_INSECT_009,Lapis Papillion
ITEM_MAT_INSECT_010,Heavy Wyrm
ITEM_MAT_INSECT_011,Trihorn
ITEM_MAT_THREAD_001,Restraint Silk
ITEM_MAT_THREAD_002,Tough Vine
ITEM_MAT_THREAD_003,Cotton Grass
ITEM_MAT_THREAD_004,Arbor Ivy
ITEM_MAT_WOOD_001,Eiche
ITEM_MAT_WOOD_002,Tough Log
ITEM_MAT_WOOD_003,Mossy Driftwood
ITEM_MAT_WOOD_007,Palma
ITEM_MAT_WOOD_008,Fossil Tree
ITEM_MAT_WOOD_004,Fragrant Honey Tree
ITEM_MAT_WOOD_005,Underworld Rotwood
ITEM_MAT_WOOD_006,Holy Arbor Branch
ITEM_MAT_GAS_001,Wing Plant
ITEM_MAT_GAS_002,Sky Bubble
ITEM_MAT_GAS_003,Crispy Mushroom
ITEM_MAT_GAS_004,Rotwood Miasma
ITEM_MAT_PUNIPUNI_001,Blue Puniball
ITEM_MAT_PUNIPUNI_002,Green Puniball
ITEM_MAT_PUNIPUNI_003,Red Puniball
ITEM_MAT_PUNIPUNI_004,Black Puniball
ITEM_MAT_PUNIPUNI_005,Silver Puniball
ITEM_MAT_PUNIPUNI_006,Gold Puniball
ITEM_MAT_ANIMAL_005,Large Feather
ITEM_MAT_ANIMAL_001,Animal Hide
ITEM_MAT_ANIMAL_002,Mythical Hide
ITEM_MAT_ANIMAL_003,Large Bone
ITEM_MAT_ANIMAL_006,Snake Slough
ITEM_MAT_ANIMAL_004,Beast Fossil
ITEM_MAT_MYSTIC_001,Fairystone Fragment
ITEM_MAT_MYSTIC_002,Dark Crystal Fragment
ITEM_MAT_MYSTIC_003,Holy Stone Fragment
ITEM_MAT_MYSTIC_004,Magic Tome Piece
ITEM_MAT_MYSTIC_005,Old Magic Tome
ITEM_MAT_MYSTIC_006,Underworld Core
ITEM_MAT_MYSTIC_007,Holy Tree Leaf
ITEM_MAT_SEASONING_001,Maple Bark
ITEM_MAT_SEASONING_002,Honey Tree Branch
ITEM_MAT_DROPITEM_001,Spirit Flower
ITEM_MAT_DROPITEM_002,Spirit Feather
ITEM_MAT_DROPITEM_003,Rusted Sword
ITEM_MAT_DROPITEM_004,Old Knight Emblem
ITEM_MAT_DROPITEM_005,Beast Venom Pouch
ITEM_MAT_DROPITEM_006,Lunatic Poison Lance
ITEM_MAT_DROPITEM_007,Beast Fin
ITEM_MAT_DROPITEM_008,Earth Fish Fang
ITEM_MAT_DROPITEM_009,Beast Shell
ITEM_MAT_DROPITEM_010,Beast Spirit Armor
ITEM_MAT_DROPITEM_011,Beast Scales
ITEM_MAT_DROPITEM_012,Atonement Stinger
ITEM_MAT_DROPITEM_013,Fire Core
ITEM_MAT_DROPITEM_014,Ice Core
ITEM_MAT_DROPITEM_015,Lightning Core
ITEM_MAT_DROPITEM_016,Wind Core
ITEM_MAT_DROPITEM_017,Dark Core
ITEM_MAT_DROPITEM_018,Dragon Meat
ITEM_MAT_DROPITEM_019,Dragon Wing
ITEM_MAT_DROPITEM_020,Dragon Egg
ITEM_MAT_DROPITEM_021,Dragon's Eye
ITEM_MAT_DROPITEM_022,Giant Puniball
ITEM_MAT_DROPITEM_023,Giant Claw
ITEM_MAT_DROPITEM_024,Fairy Segment
ITEM_MAT_DROPITEM_025,Golem Core
ITEM_MAT_DROPITEM_026,Heroic Spirit
ITEM_MAT_RARE_001,Eternal Fire
ITEM_MAT_RARE_002,Shining Sand
ITEM_MAT_RARE_003,Solflower
ITEM_MAT_RARE_004,Eternal Crystal
ITEM_MAT_GARBAGE_001,Stinky Trash
ITEM_MAT_GARBAGE_002,Broken Item
ITEM_MAT_RESERVE_001,Burnt Ash
ITEM_MAT_RESERVE_002,
ITEM_MAT_RESERVE_003,
ITEM_MAT_RESERVE_004,
ITEM_MAT_RESERVE_005,
ITEM_MAT_RESERVE_006,
ITEM_MAT_RESERVE_007,
ITEM_MAT_RESERVE_008,
ITEM_MAT_RESERVE_009,
ITEM_MAT_RESERVE_010,
ITEM_MAT_RESERVE_011,
ITEM_MAT_RESERVE_012,
ITEM_MAT_RESERVE_013,
ITEM_MAT_RESERVE_014,
ITEM_MAT_RESERVE_015,
ITEM_MAT_RESERVE_016,
ITEM_MAT_RESERVE_017,
ITEM_MAT_RESERVE_018,
ITEM_MAT_RESERVE_019,
ITEM_MAT_RESERVE_020,
ITEM_MAT_RESERVE_021,
ITEM_MAT_RESERVE_022,
ITEM_MAT_RESERVE_023,
ITEM_MAT_RESERVE_024,
ITEM_MAT_RESERVE_025,
ITEM_MAT_RESERVE_026,
ITEM_MAT_RESERVE_027,
ITEM_MAT_RESERVE_028,
ITEM_MAT_RESERVE_029,
ITEM_MAT_RESERVE_030,
ITEM_MIX_BAKU_UNI,Explosive Uni
ITEM_MIX_ICE_THORN,Ice Caltrop
ITEM_MIX_CRAFT,Craft
ITEM_MIX_FLAME,Bomb
ITEM_MIX_REFERUN,Ice Bomb
ITEM_MIX_PLAJIG,Plajig
ITEM_MIX_LUFT,Luft
ITEM_MIX_NORDEN_BRAND,Norden Brand
ITEM_MIX_LIGHTNING_BELL,Lightning Bell
ITEM_MIX_BUBBLE_BULLET,Bubble Bullet
ITEM_MIX_ROSE_FLAME,Rose Bomb
ITEM_MIX_KLEID_REFERUN,Kleid Ice Bomb
ITEM_MIX_STRAHL_PLAJIG,Strahl Plajig
ITEM_MIX_RATSEL_LUFT,Ratsel Luft
ITEM_MIX_INDUCING_FIRE_BOTTLE,Fire Bottle
ITEM_MIX_GENESIS_HAMMER,Genesis Hammer
ITEM_MIX_VANISH_SIEGEL,Vanish Siegel
ITEM_MIX_LUNA_LAMP,Lunar Lamp
ITEM_MIX_ETERNAL_FEAR,Eternal Fear
ITEM_MIX_WISEMAN_BOOK,Philosopher's Book
ITEM_MIX_ATTACK_RESERVE_001,
ITEM_MIX_ATTACK_RESERVE_002,
ITEM_MIX_ATTACK_RESERVE_003,
ITEM_MIX_ATTACK_RESERVE_004,
ITEM_MIX_ATTACK_RESERVE_005,
ITEM_MIX_ATTACK_RESERVE_006,
ITEM_MIX_ATTACK_RESERVE_007,
ITEM_MIX_ATTACK_RESERVE_008,
ITEM_MIX_ATTACK_RESERVE_009,
ITEM_MIX_ATTACK_RESERVE_010,
ITEM_MIX_GRASS_BEANS,Grass Beans
ITEM_MIX_DRY_BISCUIT,Dry Biscuit
ITEM_MIX_HEAL_RESERVE_001,Blessing Ointment
ITEM_MIX_PUNI_JELLY,Puni Jelly
ITEM_MIX_RASEN_PUDDING,Rasen Pudding
ITEM_MIX_TRICKLED_BREEZE,Trickling Breeze
ITEM_MIX_RESTORATION_BOTTLE,Restoration Bottle
ITEM_MIX_NECTOR,Nectar
ITEM_MIX_HEALING_BALL,Healing Ball
ITEM_MIX_DYNAMIC_SYRUP,Dynamic Syrup
ITEM_MIX_COCKTAIL_LEB,Cocktail Leb
ITEM_MIX_GODDNESS_CUP,Goddess Cup
ITEM_MIX_ELIXIR,Elixir
ITEM_MIX_HEAL_RESERVE_002,
ITEM_MIX_HEAL_RESERVE_003,
ITEM_MIX_HEAL_RESERVE_004,
ITEM_MIX_HEAL_RESERVE_005,
ITEM_MIX_HEAL_RESERVE_006,
ITEM_MIX_HEAL_RESERVE_007,
ITEM_MIX_HEAL_RESERVE_008,
ITEM_MIX_HEAL_RESERVE_009,
ITEM_MIX_HEAL_RESERVE_010,
ITEM_MIX_FISH_OIL,Fish Oil
ITEM_MIX_WAR_POWDER,War Powder
ITEM_MIX_THORNS_EMBRACE,Thorny Embrace
ITEM_MIX_ENERGIANICA,Energianica
ITEM_MIX_SUNDRY_REMEDIES,Sundry Remedy
ITEM_MIX_POISON_SMOKE,Poison Smoke
ITEM_MIX_MYSTERIOUS_ROBE,Mystic Robe
ITEM_MIX_MIRACLE_DRUG_EBONYAL,Miracle Ebonyal
ITEM_MIX_HEROIC_GEIST,Heroic Geist
ITEM_MIX_ASTRONOMICAL_CLOCK,Astronomical Clock
ITEM_MIX_SUPPORT_RESERVE_001,
ITEM_MIX_SUPPORT_RESERVE_002,
ITEM_MIX_SUPPORT_RESERVE_003,
ITEM_MIX_SUPPORT_RESERVE_004,
ITEM_MIX_SUPPORT_RESERVE_005,
ITEM_MIX_SUPPORT_RESERVE_006,
ITEM_MIX_SUPPORT_RESERVE_007,
ITEM_MIX_SUPPORT_RESERVE_008,
ITEM_MIX_SUPPORT_RESERVE_009,
ITEM_MIX_SUPPORT_RESERVE_010,
ITEM_MIX_MOWING_SCYTHE,Reaper's Scythe
ITEM_MIX_SPLIT_AXE,Woodcutter's Axe
ITEM_MIX_HAMMER,Hammer
ITEM_MIX_FLAME_ROD,Bomb Rod
ITEM_MIX_FISHING_ROD,Fishing Rod
ITEM_MIX_INSECT_REPELLENT,Bug Net
ITEM_MIX_COMPASS,Compass
ITEM_MIX_WIND_SHOES,Wind Shoes
ITEM_MIX_KNAPSACK,Knapsack
ITEM_MIX_VISION_LOUPE,Mirage Loupe
ITEM_MIX_COLLECT_RESERVE_001,Scythe Axe
ITEM_MIX_COLLECT_RESERVE_002,Bomb Hammer
ITEM_MIX_COLLECT_RESERVE_003,Fishing Rod Net
ITEM_MIX_COLLECT_RESERVE_004,Loupe Compass
ITEM_MIX_COLLECT_RESERVE_005,Exploration Set
ITEM_MIX_COLLECT_RESERVE_006,
ITEM_MIX_COLLECT_RESERVE_007,
ITEM_MIX_COLLECT_RESERVE_008,
ITEM_MIX_COLLECT_RESERVE_009,
ITEM_MIX_COLLECT_RESERVE_010,
ITEM_MIX_MATERIAL_NEUTRALIZE_001,Red Supplement
ITEM_MIX_MATERIAL_NEUTRALIZE_002,Blue Supplement
ITEM_MIX_MATERIAL_NEUTRALIZE_003,Yellow Supplement
ITEM_MIX_MATERIAL_NEUTRALIZE_004,Green Supplement
ITEM_MIX_MATERIAL_SUNDRIES_001,Polish Powder
ITEM_MIX_MATERIAL_SUNDRIES_002,Zettel
ITEM_MIX_MATERIAL_SUNDRIES_003,Delicious Bait
ITEM_MIX_MATERIAL_SUNDRIES_004,Alchemy Paint
ITEM_MIX_MATERIAL_SUNDRIES_005,Delphi Rose Incense
ITEM_MIX_MATERIAL_INGOT_001,Ingot
ITEM_MIX_MATERIAL_INGOT_002,Bronze Eisen
ITEM_MIX_MATERIAL_INGOT_003,Staltium
ITEM_MIX_MATERIAL_INGOT_004,Criminea
ITEM_MIX_MATERIAL_INGOT_005,Goldoterion
ITEM_MIX_MATERIAL_CLOTH_001,Cloth
ITEM_MIX_MATERIAL_CLOTH_002,Natural Cloth
ITEM_MIX_MATERIAL_CLOTH_003,Beastial Air
ITEM_MIX_MATERIAL_CLOTH_004,Sorcery Rose
ITEM_MIX_MATERIAL_CLOTH_005,Eldrocode
ITEM_MIX_MATERIAL_JEWEL_001,Pearl Crystal
ITEM_MIX_MATERIAL_JEWEL_002,Amberlite
ITEM_MIX_MATERIAL_JEWEL_003,Spirinite
ITEM_MIX_MATERIAL_JEWEL_004,Saint's Diamond
ITEM_MIX_MATERIAL_JEWEL_005,Arc en Ciel
ITEM_MIX_MATERIAL_SEASONING_001,Honey
ITEM_MIX_MATERIAL_SEASONING_002,Eltz Sugar
ITEM_MIX_MATERIAL_LIQUID_001,Traveler's Water Orb
ITEM_MIX_MATERIAL_LIQUID_002,Super Pure Water
ITEM_MIX_MATERIAL_MEDICAL_001,Healing Chip
ITEM_MIX_MATERIAL_MEDICAL_002,Holy Drop
ITEM_MIX_MATERIAL_POISON_001,Poison Cube
ITEM_MIX_MATERIAL_POISON_002,Taboo Drop
ITEM_MIX_MATERIAL_SAND_001,Lightning Sand
ITEM_MIX_MATERIAL_STONE_001,Marblestone
ITEM_MIX_MATERIAL_POWDER_001,Gunpowder Base
ITEM_MIX_MATERIAL_POWDER_002,Blue Flame Ember
ITEM_MIX_MATERIAL_FUEL_001,Mixing Oil
ITEM_MIX_MATERIAL_FUEL_002,Meltstone
ITEM_MIX_MATERIAL_FOODSTUFF_001,Flour
ITEM_MIX_MATERIAL_FOODSTUFF_002,Gelatin Powder
ITEM_MIX_MATERIAL_THREAD_001,Alchemy Fibers
ITEM_MIX_MATERIAL_THREAD_002,Heaven's String
ITEM_MIX_MATERIAL_WOOD_001,Composite Plate
ITEM_MIX_MATERIAL_WOOD_002,Holy Nut
ITEM_MIX_MATERIAL_GAS_001,Mist Liquid
ITEM_MIX_MATERIAL_GAS_002,Feather Draft
ITEM_MIX_MATERIAL_ANIMAL_001,Puni Leather
ITEM_MIX_MATERIAL_ANIMAL_002,Master Leather
ITEM_MIX_MATERIAL_MYSTIC_001,Glass Flower
ITEM_MIX_MATERIAL_MYSTIC_002,Spirit Bottle
ITEM_MIX_MATERIAL_MYSTIC_003,Crystal Element
ITEM_MIX_MATERIAL_ELIXIL_001,Philosopher's Stone
ITEM_MIX_MATERIAL_SEED_001,Plant Seed
ITEM_MIX_MATERIAL_SEED_002,Stone Seed
ITEM_MIX_MATERIAL_SEED_003,Fire Seed
ITEM_MIX_MATERIAL_SEED_004,Water Seed
ITEM_MIX_MATERIAL_SEED_005,Mystic Seed
ITEM_MIX_MATERIAL_RESERVE_001,
ITEM_MIX_MATERIAL_RESERVE_002,
ITEM_MIX_MATERIAL_RESERVE_003,
ITEM_MIX_MATERIAL_RESERVE_004,
ITEM_MIX_MATERIAL_RESERVE_005,
ITEM_MIX_MATERIAL_RESERVE_006,
ITEM_MIX_MATERIAL_RESERVE_007,
ITEM_MIX_MATERIAL_RESERVE_008,
ITEM_MIX_MATERIAL_RESERVE_009,
ITEM_MIX_MATERIAL_RESERVE_010,
ITEM_MIX_MATERIAL_RESERVE_011,
ITEM_MIX_MATERIAL_RESERVE_012,
ITEM_MIX_MATERIAL_RESERVE_013,
ITEM_MIX_MATERIAL_RESERVE_014,
ITEM_MIX_MATERIAL_RESERVE_015,
ITEM_MIX_MATERIAL_RESERVE_016,
ITEM_MIX_MATERIAL_RESERVE_017,
ITEM_MIX_MATERIAL_RESERVE_018,
ITEM_MIX_MATERIAL_RESERVE_019,
ITEM_MIX_MATERIAL_RESERVE_020,
ITEM_WEAPON_PC00_01,Handmade Staff
ITEM_WEAPON_PC00_02,Helioprox
ITEM_WEAPON_PC00_03,Grim Quartz
ITEM_WEAPON_PC00_04,Rune Code
ITEM_WEAPON_PC00_05,Celestial Seeker
ITEM_WEAPON_PC01_01,Practice Flute
ITEM_WEAPON_PC01_02,Crepusculum
ITEM_WEAPON_PC01_03,Virgin Snow
ITEM_WEAPON_PC01_04,Concert Mistress
ITEM_WEAPON_PC01_05,Ethereal Tone
ITEM_WEAPON_PC02_01,Weathered Sword
ITEM_WEAPON_PC02_02,Colossal Edge
ITEM_WEAPON_PC02_03,Initiator
ITEM_WEAPON_PC02_04,Schwartz Thruster
ITEM_WEAPON_PC02_05,Lord Guardian
ITEM_WEAPON_PC03_01,Stake Hammer
ITEM_WEAPON_PC03_02,Clairempathy
ITEM_WEAPON_PC03_03,Destruction
ITEM_WEAPON_PC03_04,Holy Torrent
ITEM_WEAPON_PC03_05,Brave Emblem
ITEM_WEAPON_PC04_01,Pilgrimage Staff
ITEM_WEAPON_PC04_02,Forest Bell
ITEM_WEAPON_PC04_03,Training Path
ITEM_WEAPON_PC04_04,Holy Arbor Staff
ITEM_WEAPON_PC04_05,Occult Wisdom
ITEM_WEAPON_PC05_01,Iron Claws
ITEM_WEAPON_PC05_02,Krieger's Talon
ITEM_WEAPON_PC05_03,Hail Crunch
ITEM_WEAPON_PC05_04,Wind Slicer
ITEM_WEAPON_PC05_05,Oren Herald
ITEM_WEAPON_RESERVE_001,
ITEM_WEAPON_RESERVE_002,
ITEM_WEAPON_RESERVE_003,
ITEM_WEAPON_RESERVE_004,
ITEM_WEAPON_RESERVE_005,
ITEM_WEAPON_RESERVE_006,
ITEM_WEAPON_RESERVE_007,
ITEM_WEAPON_RESERVE_008,
ITEM_WEAPON_RESERVE_009,
ITEM_WEAPON_RESERVE_010,
ITEM_WEAPON_RESERVE_011,
ITEM_WEAPON_RESERVE_012,
ITEM_WEAPON_RESERVE_013,
ITEM_WEAPON_RESERVE_014,
ITEM_WEAPON_RESERVE_015,
ITEM_WEAPON_RESERVE_016,
ITEM_WEAPON_RESERVE_017,
ITEM_WEAPON_RESERVE_018,
ITEM_WEAPON_RESERVE_019,
ITEM_WEAPON_RESERVE_020,
ITEM_ARMOR_001,Kurken Sweats
ITEM_ARMOR_002,Noble Tunic
ITEM_ARMOR_003,Leather Protector
ITEM_ARMOR_004,Chain Vest
ITEM_ARMOR_005,Border Scale
ITEM_ARMOR_006,Radiant Plate
ITEM_ARMOR_007,Skuller Coat
ITEM_ARMOR_008,Frost Armor
ITEM_ARMOR_009,Charade Lumont
ITEM_ARMOR_010,Fairy Cloak
ITEM_ARMOR_011,Golden Mail
ITEM_ARMOR_012,Darkness Dress
ITEM_ARMOR_013,Fortress Armor
ITEM_ARMOR_014,Sage's Cloak
ITEM_ARMOR_015,Stark Cologne
ITEM_ARMOR_RESERVE_001,
ITEM_ARMOR_RESERVE_002,
ITEM_ARMOR_RESERVE_003,
ITEM_ARMOR_RESERVE_004,
ITEM_ARMOR_RESERVE_005,
ITEM_ARMOR_RESERVE_006,
ITEM_ARMOR_RESERVE_007,
ITEM_ARMOR_RESERVE_008,
ITEM_ARMOR_RESERVE_009,
ITEM_ARMOR_RESERVE_010,
ITEM_ACCESSORY_001,Energy Pendant
ITEM_ACCESSORY_002,Gnardi Ring
ITEM_ACCESSORY_003,Frostfire Earring
ITEM_ACCESSORY_004,Boltwind Earring
ITEM_ACCESSORY_005,Exorcism Brooch
ITEM_ACCESSORY_006,Quartz Necklace
ITEM_ACCESSORY_007,Heated Bangle
ITEM_ACCESSORY_008,Godspeed Boots
ITEM_ACCESSORY_009,Migratory Charm
ITEM_ACCESSORY_010,Fairystone Chain
ITEM_ACCESSORY_011,Baron's Crown
ITEM_ACCESSORY_012,Elixir Ring
ITEM_ACCESSORY_RESERVE_001,
ITEM_ACCESSORY_RESERVE_002,
ITEM_ACCESSORY_RESERVE_003,
ITEM_ACCESSORY_RESERVE_004,
ITEM_ACCESSORY_RESERVE_005,
ITEM_ACCESSORY_RESERVE_006,
ITEM_ACCESSORY_RESERVE_007,
ITEM_ACCESSORY_RESERVE_008,
ITEM_ACCESSORY_RESERVE_009,
ITEM_ACCESSORY_RESERVE_010,
ITEM_KEY_ITEM_001,Goat Meat
ITEM_KEY_ITEM_002,Salt Grass
ITEM_KEY_ITEM_003,Fairystone Block
ITEM_KEY_ITEM_004,Building Material
ITEM_KEY_ITEM_006,Stone Material
ITEM_KEY_ITEM_007,Seaweed Soil
ITEM_KEY_ITEM_008,Soft Rubber Stone
ITEM_KEY_ITEM_009,Monster Attractor
ITEM_KEY_ITEM_010,Powerful Fish Bait
ITEM_KEY_ITEM_011,Resonance Orb
ITEM_KEY_ITEM_012,Prosthetic Arm
ITEM_KEY_ITEM_013,Super Steel Gear
ITEM_KEY_ITEM_014,Old Pynnor Key
ITEM_KEY_ITEM_015,Pynnor Key
ITEM_KEY_ITEM_016,Red Stone
ITEM_KEY_ITEM_017,Queen's Treasure
ITEM_KEY_ITEM_018,Crimson Stone
ITEM_KEY_ITEM_019,Core Crystal I
ITEM_KEY_ITEM_020,Core Crystal II
ITEM_KEY_ITEM_021,Core Crystal III
ITEM_KEY_ITEM_022,Travel Bottle: Sun
ITEM_KEY_ITEM_023,Travel Bottle: Moon
ITEM_KEY_ITEM_024,Travel Bottle: Star
ITEM_KEY_ITEM_025,Travel Bottle: Space
ITEM_KEY_ITEM_026,Travel Bottle: Underworld
ITEM_KEY_ITEM_027,Soleil Fruit
ITEM_KEY_ITEM_028,Grizzly Wood
ITEM_KEY_ITEM_029,Akashia Sap
ITEM_KEY_ITEM_030,Waterproof Oil
ITEM_KEY_ITEM_031,Resort Woodchip
ITEM_KEY_ITEM_032,Plain Lumber
ITEM_KEY_ITEM_033,Mastery Paint
ITEM_KEY_ITEM_034,Royal Tilestone
ITEM_KEY_ITEM_035,
ITEM_KEY_ITEM_036,
ITEM_KEY_ITEM_037,
ITEM_KEY_ITEM_038,
ITEM_KEY_ITEM_039,
ITEM_KEY_ITEM_040,
ITEM_KEY_ITEM_041,
ITEM_KEY_ITEM_042,
ITEM_KEY_ITEM_043,
ITEM_KEY_ITEM_044,
ITEM_KEY_ITEM_045,
ITEM_KEY_ITEM_046,
ITEM_KEY_ITEM_047,
ITEM_KEY_ITEM_048,Power Reactor
ITEM_KEY_ITEM_049,
ITEM_KEY_ITEM_050,
ITEM_KEY_RESERVE_001,
ITEM_KEY_RESERVE_002,
ITEM_KEY_RESERVE_003,
ITEM_KEY_RESERVE_004,
ITEM_KEY_RESERVE_005,
ITEM_KEY_RESERVE_006,
ITEM_KEY_RESERVE_007,
ITEM_KEY_RESERVE_008,
ITEM_KEY_RESERVE_009,
ITEM_KEY_RESERVE_010,
ITEM_KEY_RESERVE_011,
ITEM_KEY_RESERVE_012,
ITEM_KEY_RESERVE_013,
ITEM_KEY_RESERVE_014,
ITEM_KEY_RESERVE_015,
ITEM_KEY_RESERVE_016,
ITEM_KEY_RESERVE_017,
ITEM_KEY_RESERVE_018,
ITEM_KEY_RESERVE_019,
